User Journey,Owner,Reviewer,Business Process,Features as per PFT,Complexity,Licensing,Data Shape,Prerequisite,Scenarios,Priority,Integration,Integration Component
"Appraisal Management - Trade-in on new vehicle purchase journey","","","1. Sales Consultant opens Opportunity for new-vehicle purchase
2. Launches Appraisal from Opportunity, decodes trade VIN
3. Provider Valuations auto-pulled (KBB, Black Book, Manheim MMR)
4. Sales Consultant adds Appraisal Items for condition (tires, body, frame, interior, mechanical)
5. Sales Manager reviews, may override final offer with reason code, locks appraisal
6. Appraised value flows to Opportunity as trade allowance + payoff
7. F&I closes deal; trade Asset created with RT=Vehicle, Asset Title, Asset Account / Contact Participants
8. Trade Asset routed to disposition (retail keep vs. wholesale)

Persona :
Sales Consultant
Sales Manager
F&I Manager","Appraisal, Provider Valuation, ARC, Vehicle and Asset Lending, Person Accounts","High","Automotive Cloud + Automotive Cloud User Add-On","Appraisal create variations :
Create via UI from Opportunity - P0
Create via API - P1
Mobile launcher - P0

Provider Valuation variations :
3 providers, blend rule lowest of three - P0
Weighted blend - P1
Single provider fallback when one is down - P0

Override variations :
With reason code - P0
Without reason code - P0 (must block)

Asset creation :
From locked Appraisal - P0
Bulk via Apex - P1","Appraisal Management - setup - configuration (with Provider Valuations + ARC)
Appraisal Management - setup - Data (with Provider Valuations + ARC)

both the above configured in the system","1. Sales Consultant creates Opportunity with new-vehicle Product
2. Launches Appraisal, decodes trade VIN, providers return values
3. Adds Appraisal Items for condition
4. Sales Manager overrides final offer with reason code
5. Appraisal locked, value flows to Opportunity trade allowance + payoff
6. F&I closes; trade Asset created and routed to disposition queue
7. ARC graph navigates Account -> Trade Asset -> Appraisal -> Opportunity -> New Asset","P0","Yes","KBB, Black Book, Manheim MMR, VIN decode"
"Appraisal Management - Standalone Instant Cash Offer (no purchase) journey","","","1. Customer submits appraisal request via Experience Cloud site
2. Lead created, qualified, standalone Appraisal generated (no Opportunity)
3. Provider Valuations pulled, preliminary offer emailed with 7-day voucher
4. Customer schedules in-person inspection via Salesforce Scheduler
5. Inspector adds condition Appraisal Items on mobile; if delta > rule threshold, manager approval triggers
6. Customer accepts -> check / ACH issued, Asset acquired into inventory

Persona :
Guest User (Experience Cloud)
Lead Qualifier
Inspector
Sales Manager","Appraisal, Provider Valuation, Experience Cloud, Salesforce Scheduler, Sharing Sets, Mobile App","High","Automotive Cloud + Experience Cloud","Submit channel variations :
Experience Cloud - P0
Phone-in - P1
Walk-in - P1

Voucher variations :
Valid - P0
Expired - P0 (negative)
VIN mismatch at inspection - P0 (negative)

Approval variations :
Under threshold (auto) - P0
Over threshold (manager required) - P0","Appraisal Management - setup - configuration (with Provider Valuations + ARC)
Appraisal Management - setup - Data (with Provider Valuations + ARC)

both the above configured in the system; Experience Cloud site published","1. Guest user submits appraisal on Experience Cloud
2. Lead -> standalone Appraisal auto-generated
3. Provider Valuations pulled, voucher emailed with 7-day expiry
4. Customer books inspection slot via Scheduler
5. Inspector adds condition items on mobile, finalizes offer
6. Manager approves if delta > threshold
7. Customer accepts -> ACH issued, Asset created with Status = Acquired-Wholesale or Acquired-Retail","P0","Yes","KBB, Black Book, Manheim MMR; payment gateway (ACH)"
"Appraisal Management - Lease maturity / lease return journey","","","1. Financial Account lease-maturity date triggers task to dealer 60-90 days before maturity
2. Appraisal generated from Financial Account, pre-populated with grounded mileage cap and residual
3. Inspection captures excess wear / tear Appraisal Items vs. published lease return guide; excess mileage auto-calculated
4. Branching :
Return -> charges posted to Financial Account, Asset becomes Off-Lease
Buyout -> new Opportunity, payoff = residual + fees - provider delta
Re-lease -> trade flow where Appraisal value offsets new lease cap cost

Persona :
Sales Consultant
F&I Manager
Captive Finance Analyst","Appraisal, Vehicle and Asset Lending, Financial Account, Provider Valuation","High","Automotive Cloud + Vehicle and Asset Lending Add-On","Branch variations :
Return - P0
Buyout - P0
Re-lease - P0

Excess-mileage variations :
Zero excess - P0
Within tolerance - P0
Over cap - P0

Promo variations :
Pull-ahead applies - P1
Pull-ahead doesn't apply - P1","Appraisal Management - setup - configuration (with Provider Valuations + ARC)
Appraisal Management - setup - Data (with Provider Valuations + ARC)

both the above configured; lease Financial Account seeded","1. Lease-maturity batch identifies upcoming maturities
2. Appraisal pre-populated with residual + mileage cap
3. Inspector captures wear / tear and excess mileage
4. Branch chosen
   - Return -> charges to Financial Account, Asset Off-Lease, route to wholesale or CPO
   - Buyout -> new Opportunity created with payoff math
   - Re-lease -> Trade-in flow starts
5. Captive finance receives ledger postings","P0","Yes","OEM captive finance system; lease-return mileage / wear guide service"
"Appraisal Management - Wholesale / auction disposition journey","","","1. Trade Asset created from Trade-in flow with recon-cost estimate Appraisal Items
2. True Cost-to-Market computed = appraised value + recon estimate + holding cost
3. Decision Table / BRE evaluates against dealer's wholesale policy (age, miles, frame damage)
4. Manheim integration call submits vehicle to auction; lane + run number returned
5. Auction proceeds posted back; Asset disposed; gain / loss recognized vs. appraised value

Persona :
Sales Manager
Inventory Manager
Wholesale Coordinator","Appraisal, Asset, Decision Table / BRE, External Service (Manheim)","Medium","Automotive Cloud + Add-On","Wholesale rule variations :
Age > 10y, miles > 150k - P0
Frame damage flag - P0
Manager force-wholesale - P1

Integration variations :
Manheim 200 OK - P0
Manheim 5xx -> retry - P0
Submit then cancel - P1","Appraisal Management - setup - configuration (with Provider Valuations + ARC)
Appraisal Management - setup - Data (with Provider Valuations + ARC)

both done; T1 completed for source asset","1. Trade Asset evaluated against wholesale rule
2. BRE flags as wholesale candidate
3. Manheim integration submits asset, returns lane + run
4. Sale completes, proceeds posted, Asset Status = Disposed-Wholesale
5. Gain / loss vs. appraised value reported","P0","Yes","Manheim / ADESA via MuleSoft; Business Rule Engine; Decision Table"
"Appraisal Management - Reconditioning / CPO candidate journey","","","1. Appraisal flags vehicle as CPO eligible based on year / mileage / brand rule
2. Inspection generates Repair Order line items linked to Asset; recon estimate = sum of Appraisal Items recon-type
3. CPO checklist (OEM-published) executed; failures generate additional Appraisal Items
4. Once recon complete, Asset Status = Inventory-CPO with retail price = blended provider valuation + recon + margin
5. Asset listed; service history Asset -> Work Order traceable

Persona :
Inspector
Service Manager
Inventory Manager","Appraisal, Asset, Service Console for Automotive, Work Order","High","Automotive Cloud + Service Cloud","CPO rule variations per OEM brand
Recon overrun :
< 20% (auto) - P0
> 20% (manager approval) - P0
Listing :
CPO listed - P0
Ineligible - P0 (negative)","Appraisal Management - setup - configuration (with Provider Valuations + ARC)
Appraisal Management - setup - Data (with Provider Valuations + ARC)

both done; Service Console for Automotive enabled","1. Trade Asset evaluated against CPO rule
2. Recon estimate built from Appraisal Items
3. Work Orders created for failed checklist items
4. Recon complete -> Asset = Inventory-CPO
5. Retail price computed and Asset listed in inventory","P0","No",""
"Appraisal Management - Negative equity / subprime trade roll-in journey","","","1. Appraisal yields offer < lien payoff
2. Negative-equity delta passed to F&I; Vehicle and Asset Lending creates new Financial Account with rolled balance
3. Fair-lending compliance check; LTV ratio calculated; flagged if > policy
4. Lender stipulations (proof of income, residence) tracked as tasks
5. Funding contract issued; both Assets (old payoff, new vehicle) reconciled

Persona :
Sales Manager
F&I Manager
Compliance Officer","Appraisal, Vehicle and Asset Lending, Financial Account, Compliance / Audit Trail","High","Automotive Cloud + Vehicle and Asset Lending Add-On","LTV variations :
Under cap - P0
Over cap - P0 (must block)

Stipulation variations :
0 stipulations - P0
1 stipulation - P0
Multi - P1

Payoff quote variations :
In-window - P0
Expired - P0 (must re-pull)","Appraisal Management - setup - configuration (with Provider Valuations + ARC)
Appraisal Management - setup - Data (with Provider Valuations + ARC)

both done; Trade-in flow in progress with negative equity","1. Appraisal offer < payoff -> negative equity delta
2. New Financial Account created with rolled balance
3. LTV calculated; over-cap blocks funding
4. Stipulations captured and tracked
5. Funding contract issued, ledger reconciled","P0","Yes","Lender / loan origination system; credit bureau (consent-gated)"
"Appraisal Management - Mobile field appraisal journey","","","1. Sales rep on mobile creates Appraisal from Lead at customer location
2. Photo capture (8 standard angles + odometer) attached to Appraisal Items
3. OBD scan via Vehicle Connected Services pulls fault codes if enrolled; otherwise manual
4. Offer presented and signed on device; vehicle pickup scheduled

Persona :
Mobile Sales Rep
Sales Manager","Appraisal, Mobile App, Vehicle Connected Services, eSignature","Medium","Automotive Cloud + Mobile + (optional) Connected Services","Connectivity variations :
Online - P0
Offline-then-sync - P0

Connected Services :
Enrolled (auto OBD) - P1
Not enrolled (manual) - P0

Photo variations :
Full set - P0
Partial - P0 (must warn)","Appraisal Management - setup - configuration (with Provider Valuations + ARC)
Appraisal Management - setup - Data (with Provider Valuations + ARC)

both done; mobile PSL assigned","1. Rep creates Appraisal on mobile at customer site
2. Captures photos + odometer + (optional) OBD scan
3. Offer presented and signed on device
4. Pickup scheduled; sync to org when connectivity returns","P0","Optional","Vehicle Connected Services telematics provider"
"Appraisal Management - Fleet / commercial trade-in (multi-asset) journey","","","1. Fleet record holds N Fleet Asset rows (e.g. 12 vans)
2. One master Appraisal with N Appraisal child records
3. Bulk VIN decode + bulk Provider Valuation; outliers flagged
4. Per-vehicle adjustments + fleet-level discount / upcharge
5. Single Opportunity with N trade allowances; payoff per vehicle to fleet lender

Persona :
Fleet Account Manager
Sales Manager
F&I Manager","Appraisal, Fleet, Fleet Asset, Provider Valuation, Vehicle and Asset Lending","High","Automotive Cloud + Add-On","Fleet size variations :
12 vehicles - P0
50 vehicles - P0
200 vehicles - P0 (governor-limit safe)

Outlier variations :
With frame damage - P0
With lien complications - P0","Appraisal Management - setup - configuration (with Provider Valuations + ARC)
Appraisal Management - setup - Data (with Provider Valuations + ARC)

both done; Fleet records seeded","1. Fleet identified with 12 Fleet Assets
2. Master Appraisal with 12 child Appraisals
3. Bulk VIN decode + Provider Valuation
4. Per-vehicle adjustments applied
5. Single Opportunity rolls up trade allowance and payoff to fleet lender","P0","Yes","KBB, Black Book, Manheim MMR; fleet lender"
"Appraisal Management - Multi-rooftop dealer group sharing journey","","","1. Appraisal created at Store A captures vehicle
2. Asset visible to Store B inventory queue via Sharing Set on Asset RT=Vehicle
3. Compliant Data Sharing rules enforce store boundaries on customer PII
4. Store B places inventory transfer (Product Transfer / Request)
5. Internal transfer Appraisal step revalues for receiving store's market
6. Store B retails the unit; profit allocation between stores per dealer-group GL rule

Persona :
Store A Sales Manager
Store B Inventory Manager
Group Controller","Appraisal, Asset Sharing, Compliant Data Sharing, Product Transfer / Request","High","Automotive Cloud + Add-On","Sharing rule variations :
Same group - P0
Cross group - P0
External party (must deny) - P0

Profit allocation :
Standard - P0
Bespoke per group - P1","Appraisal Management - setup - configuration (with Provider Valuations + ARC)
Appraisal Management - setup - Data (with Provider Valuations + ARC)

both done; multi-rooftop hierarchy seeded; CDS configured","1. Store A appraises and acquires Asset
2. Asset visible to Store B inventory queue (no PII visible)
3. Store B requests transfer
4. Revaluation Appraisal performed at Store B
5. Store B retails unit, GL allocates profit per group rule
6. CDS test verifies Store B cannot read Store A customer PII","P0","No",""
"Appraisal Management - Customer self-service via Experience Cloud + Agentforce journey","","","1. Customer on Experience Cloud site initiates appraisal via Agentforce topic ""Vehicle Appraisal""
2. Agentforce captures VIN, mileage, condition Q&A; Einstein Summary generates plain-language offer explanation
3. Provider Valuations pulled real-time; preliminary offer shown
4. Customer books inspection via embedded Scheduler
5. Dealer inspector receives task; finalizes per Standalone-ICO flow

Persona :
Guest User (Customer)
Agentforce Agent
Inspector","Appraisal, Experience Cloud, Agentforce, Einstein Summary, Salesforce Scheduler","High","Automotive Cloud + Experience Cloud + Agentforce","Agent grounding :
Cites Provider Valuation row - P0
No hallucinated offer - P0 (negative)

Guest PSL :
Cannot read other appraisals - P0 (negative)","Appraisal Management - setup - configuration (with Provider Valuations + ARC)
Appraisal Management - setup - Data (with Provider Valuations + ARC)

both done; Experience Cloud site published; Agentforce topic deployed","1. Customer on Experience Cloud site invokes Agentforce
2. Agent collects VIN / mileage / condition, calls Provider Valuation
3. Einstein Summary explains offer; preliminary offer shown
4. Customer books inspection
5. Inspector finalizes per Standalone-ICO flow
6. Negative tests confirm guest can't read other appraisals and agent doesn't fabricate values","P1","Yes","KBB, Black Book, Manheim MMR; Agentforce; Einstein"
